OperationName,OperationNameValue,Category,CategoryValue
,MICROSOFT.AUTOMATION/AUTOMATIONACCOUNTS/SOFTWAREUPDATECONFIGURATIONMACHINERUNS/ACTION,,Administrative
,MICROSOFT.AUTOMATION/AUTOMATIONACCOUNTS/SOFTWAREUPDATECONFIGURATIONRUNS/ACTION,,Administrative
,MICROSOFT.AUTOMATION/AUTOMATIONACCOUNTS/SOFTWAREUPDATECONFIGURATIONS/DELETE,,Administrative
,MICROSOFT.AUTOMATION/AUTOMATIONACCOUNTS/SOFTWAREUPDATECONFIGURATIONS/WRITE,,Administrative
,MICROSOFT.AUTOMATION/AUTOMATIONACCOUNTS/WEBHOOKS/ACTION,,Administrative
,MICROSOFT.AUTOMATION/AUTOMATIONACCOUNTS/WRITE,,Administrative
,MICROSOFT.BING/LOCATIONS/CHECKSKUAVAILABILITY/ACTION,,Administrative
,MICROSOFT.BLUEPRINT/BLUEPRINTASSIGNMENTS/DELETE,,Administrative
,MICROSOFT.BLUEPRINT/BLUEPRINTASSIGNMENTS/WHOISBLUEPRINT/ACTION,,Administrative
,MICROSOFT.BLUEPRINT/BLUEPRINTASSIGNMENTS/WRITE,,Administrative
,MICROSOFT.BLUEPRINT/BLUEPRINTS/ARTIFACTS/WRITE,,Administrative
,MICROSOFT.BLUEPRINT/BLUEPRINTS/VERSIONS/WRITE,,Administrative
,MICROSOFT.BLUEPRINT/BLUEPRINTS/WRITE,,Administrative
,MICROSOFT.BLUEPRINT/REGISTER/ACTION,,Administrative
,MICROSOFT.BOTSERVICE/BOTSERVICES/CHANNELS/LISTCHANNELWITHKEYS/ACTION,,Administrative
,MICROSOFT.BOTSERVICE/BOTSERVICES/CHANNELS/WRITE,,Administrative
,MICROSOFT.BOTSERVICE/BOTSERVICES/DELETE,,Administrative
,MICROSOFT.BOTSERVICE/BOTSERVICES/WRITE,,Administrative
,MICROSOFT.CACHE/REGISTER/ACTION,,Administrative
,MICROSOFT.CAPACITY/LISTSKUS/ACTION,,Administrative
,MICROSOFT.CDN/REGISTER/ACTION,,Administrative
,MICROSOFT.CERTIFICATEREGISTRATION/CERTIFICATEORDERS/RETRIEVECERTIFICATEACTIONS/ACTION,,Administrative
,MICROSOFT.CERTIFICATEREGISTRATION/CERTIFICATEORDERS/VERIFYDOMAINOWNERSHIP/ACTION,,Administrative
,MICROSOFT.CHANGEANALYSIS/CHANGESNAPSHOTS/ACTION,,Administrative
,MICROSOFT.CHANGEANALYSIS/REGISTER/ACTION,,Administrative
,MICROSOFT.CHANGEANALYSIS/RESOURCECHANGES/ACTION,,Administrative
,MICROSOFT.CLASSICCOMPUTE/DOMAINNAMES/DELETE,,Administrative
,MICROSOFT.CLASSICCOMPUTE/DOMAINNAMES/EXTENSIONS/WRITE,,Administrative
,MICROSOFT.CLASSICCOMPUTE/DOMAINNAMES/SERVICECERTIFICATES/DELETE,,Administrative
,MICROSOFT.CLASSICCOMPUTE/DOMAINNAMES/SLOTS/DELETE,,Administrative
,MICROSOFT.CLASSICCOMPUTE/DOMAINNAMES/SLOTS/ROLES/EXTENSIONREFERENCES/WRITE,,Administrative
,MICROSOFT.CLASSICCOMPUTE/DOMAINNAMES/SLOTS/ROLES/ROLEINSTANCES/DOWNLOADREMOTEDESKTOPCONNECTIONFILE/ACTION,,Administrative
,MICROSOFT.CLASSICCOMPUTE/DOMAINNAMES/SLOTS/START/ACTION,,Administrative
,MICROSOFT.CLASSICCOMPUTE/DOMAINNAMES/SLOTS/STOP/ACTION,,Administrative
,MICROSOFT.CLASSICCOMPUTE/DOMAINNAMES/SLOTS/WRITE,,Administrative
,MICROSOFT.CLASSICSTORAGE/STORAGEACCOUNTS/LISTKEYS/ACTION,,Administrative
,MICROSOFT.COGNITIVESERVICES/ACCOUNTS/DELETE,,Administrative
,MICROSOFT.COGNITIVESERVICES/ACCOUNTS/LISTKEYS/ACTION,,Administrative
,MICROSOFT.COGNITIVESERVICES/ACCOUNTS/WRITE,,Administrative
,MICROSOFT.COGNITIVESERVICES/LOCATIONS/CHECKSKUAVAILABILITY/ACTION,,Administrative
,MICROSOFT.COMPUTE/AVAILABILITYSETS/DELETE,,Administrative
,MICROSOFT.COMPUTE/AVAILABILITYSETS/WRITE,,Administrative
,MICROSOFT.COMPUTE/DISKS/DELETE,,Administrative
,MICROSOFT.COMPUTE/DISKS/WRITE,,Administrative
,MICROSOFT.COMPUTE/GALLERIES/DELETE,,Administrative
,MICROSOFT.COMPUTE/GALLERIES/IMAGES/DELETE,,Administrative
,MICROSOFT.COMPUTE/GALLERIES/IMAGES/VERSIONS/DELETE,,Administrative
,MICROSOFT.COMPUTE/GALLERIES/IMAGES/VERSIONS/WRITE,,Administrative
,MICROSOFT.COMPUTE/GALLERIES/IMAGES/WRITE,,Administrative
,MICROSOFT.COMPUTE/GALLERIES/WRITE,,Administrative
,MICROSOFT.COMPUTE/IMAGES/DELETE,,Administrative
,MICROSOFT.COMPUTE/IMAGES/WRITE,,Administrative
,MICROSOFT.COMPUTE/LOCATIONS/DIAGNOSTICS/REGISTERSTORAGECONFIGURATION/ACTION,,Administrative
,MICROSOFT.COMPUTE/LOCATIONS/DIAGNOSTICS/VALIDATESTORAGECONFIGURATION/ACTION,,Administrative
,MICROSOFT.COMPUTE/REGISTER/ACTION,,Administrative
,MICROSOFT.COMPUTE/RESTOREPOINTCOLLECTIONS/DELETE,,Administrative
,MICROSOFT.COMPUTE/RESTOREPOINTCOLLECTIONS/RESTOREPOINTS/DELETE,,Administrative
,MICROSOFT.COMPUTE/RESTOREPOINTCOLLECTIONS/RESTOREPOINTS/DISKRESTOREPOINTS/BEGINGETACCESS/ACTION,,Administrative
,MICROSOFT.COMPUTE/RESTOREPOINTCOLLECTIONS/RESTOREPOINTS/DISKRESTOREPOINTS/ENDGETACCESS/ACTION,,Administrative
,MICROSOFT.COMPUTE/RESTOREPOINTCOLLECTIONS/RESTOREPOINTS/RETRIEVESASURIS/ACTION,,Administrative
,MICROSOFT.COMPUTE/RESTOREPOINTCOLLECTIONS/RESTOREPOINTS/WRITE,,Administrative
,MICROSOFT.COMPUTE/RESTOREPOINTCOLLECTIONS/WRITE,,Administrative
,MICROSOFT.COMPUTE/SNAPSHOTS/DELETE,,Administrative
,MICROSOFT.COMPUTE/SNAPSHOTS/WRITE,,Administrative
,MICROSOFT.COMPUTE/SSHPUBLICKEYS/DELETE,,Administrative
,MICROSOFT.COMPUTE/SSHPUBLICKEYS/GENERATEKEYPAIR/ACTION,,Administrative
,MICROSOFT.COMPUTE/SSHPUBLICKEYS/WRITE,,Administrative
,MICROSOFT.COMPUTE/VIRTUALMACHINES/ASSESSPATCHES/ACTION,,Administrative
,MICROSOFT.COMPUTE/VIRTUALMACHINES/CONVERTTOMANAGEDDISKS/ACTION,,Administrative
,MICROSOFT.COMPUTE/VIRTUALMACHINES/DEALLOCATE/ACTION,,Administrative
,MICROSOFT.COMPUTE/VIRTUALMACHINES/DELETE,,Administrative
,Microsoft.Compute/virtualMachines/evictSpotVM/action,,Administrative
,MICROSOFT.COMPUTE/VIRTUALMACHINES/EXTENSIONS/DELETE,,Administrative
,MICROSOFT.COMPUTE/VIRTUALMACHINES/EXTENSIONS/WRITE,,Administrative
,MICROSOFT.COMPUTE/VIRTUALMACHINES/GENERALIZE/ACTION,,Administrative
,Microsoft.Compute/virtualMachines/installPatches/action,,Administrative
,MICROSOFT.COMPUTE/VIRTUALMACHINES/INSTALLPATCHES/ACTION,,Administrative
,MICROSOFT.COMPUTE/VIRTUALMACHINES/PERFORMMAINTENANCE/ACTION,,Administrative
,MICROSOFT.COMPUTE/VIRTUALMACHINES/POWEROFF/ACTION,,Administrative
,MICROSOFT.COMPUTE/VIRTUALMACHINES/REAPPLY/ACTION,,Administrative
,MICROSOFT.COMPUTE/VIRTUALMACHINES/REDEPLOY/ACTION,,Administrative
,MICROSOFT.COMPUTE/VIRTUALMACHINES/RESTART/ACTION,,Administrative
,MICROSOFT.COMPUTE/VIRTUALMACHINES/RETRIEVEBOOTDIAGNOSTICSDATA/ACTION,,Administrative
,MICROSOFT.COMPUTE/VIRTUALMACHINES/RUNCOMMAND/ACTION,,Administrative
,MICROSOFT.COMPUTE/VIRTUALMACHINES/START/ACTION,,Administrative
,Microsoft.Compute/virtualMachines/upgradeVMExtensions/action,,Administrative
,MICROSOFT.COMPUTE/VIRTUALMACHINES/WRITE,,Administrative
,MICROSOFT.COMPUTE/VIRTUALMACHINESCALESETS/DEALLOCATE/ACTION,,Administrative
,MICROSOFT.COMPUTE/VIRTUALMACHINESCALESETS/DELETE,,Administrative
,MICROSOFT.COMPUTE/VIRTUALMACHINESCALESETS/DELETE/ACTION,,Administrative
,MICROSOFT.COMPUTE/VIRTUALMACHINESCALESETS/EXTENSIONS/WRITE,,Administrative
,MICROSOFT.COMPUTE/VIRTUALMACHINESCALESETS/MANUALUPGRADE/ACTION,,Administrative
,MICROSOFT.COMPUTE/VIRTUALMACHINESCALESETS/REIMAGE/ACTION,,Administrative
,MICROSOFT.COMPUTE/VIRTUALMACHINESCALESETS/START/ACTION,,Administrative
,MICROSOFT.COMPUTE/VIRTUALMACHINESCALESETS/VIRTUALMACHINES/RESTART/ACTION,,Administrative
,MICROSOFT.COMPUTE/VIRTUALMACHINESCALESETS/VIRTUALMACHINES/RUNCOMMAND/ACTION,,Administrative
,MICROSOFT.COMPUTE/VIRTUALMACHINESCALESETS/VIRTUALMACHINES/WRITE,,Administrative
,MICROSOFT.COMPUTE/VIRTUALMACHINESCALESETS/WRITE,,Administrative
,MICROSOFT.CONSUMPTION/BUDGETS/WRITE,,Administrative
,MICROSOFT.CONTAINERINSTANCE/CONTAINERGROUPS/DELETE,,Administrative
,MICROSOFT.CONTAINERINSTANCE/CONTAINERGROUPS/START/ACTION,,Administrative
,MICROSOFT.CONTAINERINSTANCE/CONTAINERGROUPS/WRITE,,Administrative
,MICROSOFT.CONTAINERINSTANCE/REGISTER/ACTION,,Administrative
,MICROSOFT.CONTAINERREGISTRY/REGISTER/ACTION,,Administrative
,MICROSOFT.CONTAINERREGISTRY/REGISTRIES/DELETE,,Administrative
,MICROSOFT.CONTAINERREGISTRY/REGISTRIES/IMPORTIMAGE/ACTION,,Administrative
,MICROSOFT.CONTAINERREGISTRY/REGISTRIES/LISTBUILDSOURCEUPLOADURL/ACTION,,Administrative
,MICROSOFT.CONTAINERREGISTRY/REGISTRIES/LISTCREDENTIALS/ACTION,,Administrative
,MICROSOFT.CONTAINERREGISTRY/REGISTRIES/PRIVATEENDPOINTCONNECTIONPROXIES/VALIDATE/ACTION,,Administrative
,MICROSOFT.CONTAINERREGISTRY/REGISTRIES/PRIVATEENDPOINTCONNECTIONPROXIES/WRITE,,Administrative
,MICROSOFT.CONTAINERREGISTRY/REGISTRIES/RUNS/LISTLOGSASURL/ACTION,,Administrative
,MICROSOFT.CONTAINERREGISTRY/REGISTRIES/TASKRUNS/WRITE,,Administrative
,MICROSOFT.CONTAINERREGISTRY/REGISTRIES/WEBHOOKS/DELETE,,Administrative
,MICROSOFT.CONTAINERREGISTRY/REGISTRIES/WRITE,,Administrative
,MICROSOFT.CONTAINERSERVICE/MANAGEDCLUSTERS/AGENTPOOLS/DELETE,,Administrative
,MICROSOFT.CONTAINERSERVICE/MANAGEDCLUSTERS/AGENTPOOLS/WRITE,,Administrative
,MICROSOFT.CONTAINERSERVICE/MANAGEDCLUSTERS/DELETE,,Administrative
,MICROSOFT.CONTAINERSERVICE/MANAGEDCLUSTERS/LISTCLUSTERADMINCREDENTIAL/ACTION,,Administrative
,MICROSOFT.CONTAINERSERVICE/MANAGEDCLUSTERS/LISTCLUSTERMONITORINGUSERCREDENTIAL/ACTION,,Administrative
,MICROSOFT.CONTAINERSERVICE/MANAGEDCLUSTERS/LISTCLUSTERUSERCREDENTIAL/ACTION,,Administrative
,MICROSOFT.CONTAINERSERVICE/MANAGEDCLUSTERS/RESOLVEPRIVATELINKSERVICEID/ACTION,,Administrative
,MICROSOFT.CONTAINERSERVICE/MANAGEDCLUSTERS/START/ACTION,,Administrative
,MICROSOFT.CONTAINERSERVICE/MANAGEDCLUSTERS/STOP/ACTION,,Administrative
,MICROSOFT.CONTAINERSERVICE/MANAGEDCLUSTERS/WRITE,,Administrative
,MICROSOFT.CONTAINERSERVICE/REGISTER/ACTION,,Administrative
,MICROSOFT.CUSTOMPROVIDERS/REGISTER/ACTION,,Administrative
,MICROSOFT.DATAFACTORY/DATAFACTORIES/DELETE,,Administrative
,MICROSOFT.DATAFACTORY/FACTORIES/ADDDATAFLOWTODEBUGSESSION/ACTION,,Administrative
,MICROSOFT.DATAFACTORY/FACTORIES/CANCELSANDBOXPIPELINERUN/ACTION,,Administrative
,MICROSOFT.DATAFACTORY/FACTORIES/CREATEDATAFLOWDEBUGSESSION/ACTION,,Administrative
,MICROSOFT.DATAFACTORY/FACTORIES/DATAFLOWS/DELETE,,Administrative
,MICROSOFT.DATAFACTORY/FACTORIES/DATAFLOWS/WRITE,,Administrative
,MICROSOFT.DATAFACTORY/FACTORIES/DATASETS/DELETE,,Administrative
,MICROSOFT.DATAFACTORY/FACTORIES/DATASETS/WRITE,,Administrative
,MICROSOFT.DATAFACTORY/FACTORIES/DELETEDATAFLOWDEBUGSESSION/ACTION,,Administrative
,MICROSOFT.DATAFACTORY/FACTORIES/ENUMERATEITEMS/ACTION,,Administrative
,MICROSOFT.DATAFACTORY/FACTORIES/EXECUTEDATAFLOWDEBUGCOMMAND/ACTION,,Administrative
,MICROSOFT.DATAFACTORY/FACTORIES/EXECUTEQUERY/ACTION,,Administrative
,MICROSOFT.DATAFACTORY/FACTORIES/GETDATAPLANEACCESS/ACTION,,Administrative
,MICROSOFT.DATAFACTORY/FACTORIES/INTEGRATIONRUNTIMES/CREATEEXPRESSSHIRINSTALLLINK/ACTION,,Administrative
,MICROSOFT.DATAFACTORY/FACTORIES/INTEGRATIONRUNTIMES/DELETE,,Administrative
,MICROSOFT.DATAFACTORY/FACTORIES/INTEGRATIONRUNTIMES/GETOBJECTMETADATA/ACTION,,Administrative
,MICROSOFT.DATAFACTORY/FACTORIES/INTEGRATIONRUNTIMES/LISTAUTHKEYS/ACTION,,Administrative
,MICROSOFT.DATAFACTORY/FACTORIES/INTEGRATIONRUNTIMES/NODES/IPADDRESS/ACTION,,Administrative
,MICROSOFT.DATAFACTORY/FACTORIES/INTEGRATIONRUNTIMES/REFRESHOBJECTMETADATA/ACTION,,Administrative
,MICROSOFT.DATAFACTORY/FACTORIES/INTEGRATIONRUNTIMES/UPGRADE/ACTION,,Administrative
,MICROSOFT.DATAFACTORY/FACTORIES/INTEGRATIONRUNTIMES/WRITE,,Administrative
,MICROSOFT.DATAFACTORY/FACTORIES/LINKEDSERVICES/DELETE,,Administrative
,MICROSOFT.DATAFACTORY/FACTORIES/LINKEDSERVICES/WRITE,,Administrative
,MICROSOFT.DATAFACTORY/FACTORIES/PIPELINERUNS/CANCEL/ACTION,,Administrative
,MICROSOFT.DATAFACTORY/FACTORIES/PIPELINES/CREATERUN/ACTION,,Administrative
,MICROSOFT.DATAFACTORY/FACTORIES/PIPELINES/DELETE,,Administrative
,MICROSOFT.DATAFACTORY/FACTORIES/PIPELINES/SANDBOX/ACTION,,Administrative
,MICROSOFT.DATAFACTORY/FACTORIES/PIPELINES/WRITE,,Administrative
,MICROSOFT.DATAFACTORY/FACTORIES/QUERYDATAFLOWDEBUGSESSIONS/ACTION,,Administrative
,MICROSOFT.DATAFACTORY/FACTORIES/TESTCONNECTIVITY/ACTION,,Administrative
,MICROSOFT.DATAFACTORY/FACTORIES/TRIGGERS/DELETE,,Administrative
,MICROSOFT.DATAFACTORY/FACTORIES/TRIGGERS/GETEVENTSUBSCRIPTIONSTATUS/ACTION,,Administrative
,MICROSOFT.DATAFACTORY/FACTORIES/TRIGGERS/START/ACTION,,Administrative
,MICROSOFT.DATAFACTORY/FACTORIES/TRIGGERS/STOP/ACTION,,Administrative
,MICROSOFT.DATAFACTORY/FACTORIES/TRIGGERS/SUBSCRIBETOEVENTS/ACTION,,Administrative
,MICROSOFT.DATAFACTORY/FACTORIES/TRIGGERS/UNSUBSCRIBEFROMEVENTS/ACTION,,Administrative
,MICROSOFT.DATAFACTORY/FACTORIES/TRIGGERS/WRITE,,Administrative
,MICROSOFT.DATAFACTORY/FACTORIES/WRITE,,Administrative
,MICROSOFT.DATALAKEANALYTICS/REGISTER/ACTION,,Administrative
,MICROSOFT.DATALAKESTORE/REGISTER/ACTION,,Administrative
,MICROSOFT.DATASHARE/ACCOUNTS/DELETE,,Administrative
,MICROSOFT.DATASHARE/ACCOUNTS/SHARES/DATASETS/WRITE,,Administrative
,MICROSOFT.DATASHARE/ACCOUNTS/SHARES/DELETE,,Administrative
,MICROSOFT.DATASHARE/ACCOUNTS/SHARES/INVITATIONS/WRITE,,Administrative
,MICROSOFT.DATASHARE/ACCOUNTS/SHARES/SYNCHRONIZATIONSETTINGS/WRITE,,Administrative
,MICROSOFT.DATASHARE/ACCOUNTS/SHARES/WRITE,,Administrative
,MICROSOFT.DATASHARE/ACCOUNTS/SHARESUBSCRIPTIONS/DATASETMAPPINGS/WRITE,,Administrative
,MICROSOFT.DATASHARE/ACCOUNTS/SHARESUBSCRIPTIONS/LISTSOURCESHARESYNCHRONIZATIONSETTINGS/ACTION,,Administrative
,MICROSOFT.DATASHARE/ACCOUNTS/SHARESUBSCRIPTIONS/LISTSYNCHRONIZATIONDETAILS/ACTION,,Administrative
,MICROSOFT.DATASHARE/ACCOUNTS/SHARESUBSCRIPTIONS/LISTSYNCHRONIZATIONS/ACTION,,Administrative
,MICROSOFT.DATASHARE/ACCOUNTS/SHARESUBSCRIPTIONS/SYNCHRONIZE/ACTION,,Administrative
,MICROSOFT.DATASHARE/ACCOUNTS/SHARESUBSCRIPTIONS/TRIGGERS/WRITE,,Administrative
,MICROSOFT.DATASHARE/ACCOUNTS/SHARESUBSCRIPTIONS/WRITE,,Administrative
,MICROSOFT.DATASHARE/ACCOUNTS/WRITE,,Administrative
,MICROSOFT.DBFORMARIADB/REGISTER/ACTION,,Administrative
,MICROSOFT.DBFORMYSQL/REGISTER/ACTION,,Administrative
,MICROSOFT.DBFORPOSTGRESQL/CHECKNAMEAVAILABILITY/ACTION,,Administrative
,MICROSOFT.DBFORPOSTGRESQL/FLEXIBLESERVERS/DELETE,,Administrative
,MICROSOFT.DBFORPOSTGRESQL/FLEXIBLESERVERS/WRITE,,Administrative
,MICROSOFT.DBFORPOSTGRESQL/LOCATIONS/CHECKVIRTUALNETWORKSUBNETUSAGE/ACTION,,Administrative
,MICROSOFT.DBFORPOSTGRESQL/REGISTER/ACTION,,Administrative
,MICROSOFT.DBFORPOSTGRESQL/SERVERS/DELETE,,Administrative
,MICROSOFT.DBFORPOSTGRESQL/SERVERS/FIREWALLRULES/WRITE,,Administrative
,MICROSOFT.DBFORPOSTGRESQL/SERVERS/WRITE,,Administrative
,MICROSOFT.DEVICES/IOTHUBS/DELETE,,Administrative
,MICROSOFT.DEVICES/IOTHUBS/LISTKEYS/ACTION,,Administrative
,MICROSOFT.DEVICES/IOTHUBS/WRITE,,Administrative
,MICROSOFT.DEVTESTLAB/SCHEDULES/DELETE,,Administrative
,MICROSOFT.DEVTESTLAB/SCHEDULES/WRITE,,Administrative
,MICROSOFT.DIAGNOSTICS/REGISTER/ACTION,,Administrative
,MICROSOFT.DOCUMENTDB/DATABASEACCOUNTS/BACKUP/ACTION,,Administrative
,MICROSOFT.DOCUMENTDB/DATABASEACCOUNTS/DELETE,,Administrative
,MICROSOFT.DOCUMENTDB/DATABASEACCOUNTS/LISTCONNECTIONSTRINGS/ACTION,,Administrative
,MICROSOFT.DOCUMENTDB/DATABASEACCOUNTS/LISTKEYS/ACTION,,Administrative
,MICROSOFT.DOCUMENTDB/DATABASEACCOUNTS/PRIVATEENDPOINTCONNECTIONPROXIES/VALIDATE/ACTION,,Administrative
,MICROSOFT.DOCUMENTDB/DATABASEACCOUNTS/PRIVATEENDPOINTCONNECTIONPROXIES/WRITE,,Administrative
,MICROSOFT.DOCUMENTDB/DATABASEACCOUNTS/PRIVATEENDPOINTCONNECTIONS/WRITE,,Administrative
,MICROSOFT.DOCUMENTDB/DATABASEACCOUNTS/READONLYKEYS/ACTION,,Administrative
,MICROSOFT.DOCUMENTDB/DATABASEACCOUNTS/WRITE,,Administrative
,MICROSOFT.DOCUMENTDB/REGISTER/ACTION,,Administrative
,MICROSOFT.DOMAINREGISTRATION/REGISTER/ACTION,,Administrative
,MICROSOFT.EDGEORDER/REGISTER/ACTION,,Administrative
,MICROSOFT.EVENTGRID/EVENTSUBSCRIPTIONS/DELETE,,Administrative
,MICROSOFT.EVENTGRID/EVENTSUBSCRIPTIONS/WRITE,,Administrative
,MICROSOFT.EVENTGRID/SYSTEMTOPICS/DELETE,,Administrative
,MICROSOFT.EVENTGRID/SYSTEMTOPICS/WRITE,,Administrative
,MICROSOFT.EVENTHUB/NAMESPACES/AUTHORIZATIONRULES/LISTKEYS/ACTION,,Administrative
,MICROSOFT.EVENTHUB/NAMESPACES/PRIVATEENDPOINTCONNECTIONPROXIES/VALIDATE/ACTION,,Administrative
,MICROSOFT.EVENTHUB/NAMESPACES/PRIVATEENDPOINTCONNECTIONPROXIES/WRITE,,Administrative
,MICROSOFT.EVENTHUB/NAMESPACES/PRIVATEENDPOINTCONNECTIONS/WRITE,,Administrative
,MICROSOFT.FEATURES/FEATUREPROVIDERS/SUBSCRIPTIONFEATUREREGISTRATIONS/WRITE,,Administrative
,MICROSOFT.FEATURES/PROVIDERS/FEATURES/REGISTER/ACTION,,Administrative
,MICROSOFT.GUESTCONFIGURATION/GUESTCONFIGURATIONASSIGNMENTS/WRITE,,Administrative
,MICROSOFT.HYBRIDCOMPUTE/MACHINES/EXTENSIONS/WRITE,,Administrative
,Microsoft.HybridCompute/machines/upgradeExtensions/action,,Administrative
,MICROSOFT.HYBRIDCOMPUTE/MACHINES/UPGRADEEXTENSIONS/ACTION,,Administrative
,MICROSOFT.HYBRIDCOMPUTE/MACHINES/WRITE,,Administrative
,MICROSOFT.HYBRIDCONTAINERSERVICE/REGISTER/ACTION,,Administrative
,MICROSOFT.INSIGHTS/ACTIONGROUPS/DELETE,,Administrative
,MICROSOFT.INSIGHTS/ACTIONGROUPS/WRITE,,Administrative
,MICROSOFT.INSIGHTS/ACTIVITYLOGALERTS/WRITE,,Administrative
,MICROSOFT.INSIGHTS/COMPONENTS/DELETE,,Administrative
,MICROSOFT.INSIGHTS/COMPONENTS/METADATA/ACTION,,Administrative
,MICROSOFT.INSIGHTS/COMPONENTS/WRITE,,Administrative
,MICROSOFT.INSIGHTS/CREATENOTIFICATIONS/ACTION,,Administrative
,MICROSOFT.INSIGHTS/DATACOLLECTIONRULEASSOCIATIONS/DELETE,,Administrative
,MICROSOFT.INSIGHTS/DATACOLLECTIONRULEASSOCIATIONS/WRITE,,Administrative
,MICROSOFT.INSIGHTS/DATACOLLECTIONRULES/WRITE,,Administrative
,MICROSOFT.INSIGHTS/DIAGNOSTICSETTINGS/DELETE,,Administrative
,MICROSOFT.INSIGHTS/DIAGNOSTICSETTINGS/WRITE,,Administrative
,MICROSOFT.INSIGHTS/EXTENDEDDIAGNOSTICSETTINGS/DELETE,,Administrative
,MICROSOFT.INSIGHTS/METRICALERTS/DELETE,,Administrative
,MICROSOFT.INSIGHTS/METRICALERTS/WRITE,,Administrative
,MICROSOFT.INSIGHTS/REGISTER/ACTION,,Administrative
,MICROSOFT.INSIGHTS/SCHEDULEDQUERYRULES/WRITE,,Administrative
,MICROSOFT.INSIGHTS/WORKBOOKS/DELETE,,Administrative
,MICROSOFT.INSIGHTS/WORKBOOKS/WRITE,,Administrative
,MICROSOFT.IOTSECURITY/DEFENDERSETTINGS/PACKAGEDOWNLOADS/ACTION,,Administrative
,MICROSOFT.IOTSECURITY/LOCATIONS/DEVICEGROUPS/ALERTS/LEARN/ACTION,,Administrative
,MICROSOFT.IOTSECURITY/LOCATIONS/DEVICEGROUPS/ALERTS/PCAPAVAILABILITY/ACTION,,Administrative
,MICROSOFT.IOTSECURITY/LOCATIONS/DEVICEGROUPS/ALERTS/PCAPREQUEST/ACTION,,Administrative
,MICROSOFT.IOTSECURITY/LOCATIONS/DEVICEGROUPS/ALERTS/WRITE,,Administrative
,MICROSOFT.IOTSECURITY/LOCATIONS/SITES/SENSORS/DELETE,,Administrative
,MICROSOFT.IOTSECURITY/LOCATIONS/SITES/SENSORS/DOWNLOADACTIVATION/ACTION,,Administrative
,MICROSOFT.IOTSECURITY/LOCATIONS/SITES/SENSORS/DOWNLOADRESETPASSWORD/ACTION,,Administrative
,MICROSOFT.IOTSECURITY/LOCATIONS/SITES/SENSORS/TRIGGERTIPACKAGEUPDATE/ACTION,,Administrative
,MICROSOFT.IOTSECURITY/LOCATIONS/SITES/SENSORS/WRITE,,Administrative
,MICROSOFT.IOTSECURITY/LOCATIONS/SITES/WRITE,,Administrative
,MICROSOFT.IOTSECURITY/ONPREMISESENSORS/DELETE,,Administrative
,MICROSOFT.IOTSECURITY/ONPREMISESENSORS/DOWNLOADACTIVATION/ACTION,,Administrative
,MICROSOFT.IOTSECURITY/ONPREMISESENSORS/DOWNLOADRESETPASSWORD/ACTION,,Administrative
,MICROSOFT.IOTSECURITY/ONPREMISESENSORS/WRITE,,Administrative
,MICROSOFT.IOTSECURITY/REGISTER/ACTION,,Administrative
,MICROSOFT.IOTSECURITY/SENSORS/DELETE,,Administrative
,MICROSOFT.IOTSECURITY/SENSORS/DOWNLOADRESETPASSWORD/ACTION,,Administrative
,MICROSOFT.IOTSECURITY/SENSORS/TRIGGERTIPACKAGEUPDATE/ACTION,,Administrative
,MICROSOFT.KEYVAULT/REGISTER/ACTION,,Administrative
,MICROSOFT.KEYVAULT/VAULTS/ACCESSPOLICIES/WRITE,,Administrative
,MICROSOFT.KEYVAULT/VAULTS/DELETE,,Administrative
,MICROSOFT.KEYVAULT/VAULTS/PRIVATEENDPOINTCONNECTIONPROXIES/VALIDATE/ACTION,,Administrative
,MICROSOFT.KEYVAULT/VAULTS/PRIVATEENDPOINTCONNECTIONPROXIES/WRITE,,Administrative
,MICROSOFT.KEYVAULT/VAULTS/SECRETS/WRITE,,Administrative
,MICROSOFT.KEYVAULT/VAULTS/WRITE,,Administrative
,MICROSOFT.KUSTO/CLUSTERS/CHECKNAMEAVAILABILITY/ACTION,,Administrative
,MICROSOFT.KUSTO/CLUSTERS/DATABASES/DELETE,,Administrative
,MICROSOFT.KUSTO/CLUSTERS/DATABASES/PRINCIPALASSIGNMENTS/DELETE,,Administrative
,MICROSOFT.KUSTO/CLUSTERS/DATABASES/PRINCIPALASSIGNMENTS/WRITE,,Administrative
,MICROSOFT.KUSTO/CLUSTERS/DATABASES/WRITE,,Administrative
,MICROSOFT.KUSTO/CLUSTERS/LISTFOLLOWERDATABASES/ACTION,,Administrative
,MICROSOFT.KUSTO/CLUSTERS/PRINCIPALASSIGNMENTS/WRITE,,Administrative
,MICROSOFT.KUSTO/CLUSTERS/STOP/ACTION,,Administrative
,MICROSOFT.LOGIC/INTEGRATIONACCOUNTS/MAPS/WRITE,,Administrative
,MICROSOFT.LOGIC/INTEGRATIONACCOUNTS/WRITE,,Administrative
,MICROSOFT.LOGIC/LOCATIONS/WORKFLOWS/RECOMMENDOPERATIONGROUPS/ACTION,,Administrative
,MICROSOFT.LOGIC/REGISTER/ACTION,,Administrative
,MICROSOFT.LOGIC/WORKFLOWS/DELETE,,Administrative
,MICROSOFT.LOGIC/WORKFLOWS/DISABLE/ACTION,,Administrative
,MICROSOFT.LOGIC/WORKFLOWS/ENABLE/ACTION,,Administrative
